"Nivel_1_Setor","Nivel_2","Nivel_3","Nivel_4","Nivel_5","Nivel_6","Emissao_Remocao","Gas","Estado","Atividade_Economica","Produto","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Caatinga","fora de Área Protegida","Desmatamento","Floresta secundária -- Área sem vegetação","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3732,6921,5931,7461,59254,17264,20414,121252,15763,63732,9235,34867,31646,45056,14207,115982,28610,61417,42292,28630,35778,25499,21488,20731,21179,54739,42975
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Cerrado","fora de Área Protegida","Desmatamento","Floresta secundária -- Área sem vegetação","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19456,41259,85278,77051,107446,136104,130901,215286,166429,143405,243319,261975,148974,137150,103589,121948,120888,196688,166387,214083,274813,173020,143204,187554,175946,153227,178623
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Mata Atlântica","fora de Área Protegida","Desmatamento","Floresta secundária -- Área sem vegetação","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10249,22668,26434,47685,52271,64540,68486,63288,60027,54304,37798,39388,61217,60862,62313,44283,77525,128690,79055,92298,118859,89541,85313,66713,46149,73439,47618
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Pampa","fora de Área Protegida","Desmatamento","Floresta secundária -- Área sem vegetação","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2204,5276,3124,8193,7635,6717,10138,4121,5699,5633,8777,15723,12971,15898,7817,8806,13581,7071,11089,11783,8579,6832,6127,6990,5851,8522,7840
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Pantanal","fora de Área Protegida","Desmatamento","Floresta secundária -- Área sem vegetação","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,50,40,104,92,246,264,144,263,232,216,146,37,210,197,410,490,356,160,656,251,460,662,2141,157,58,40
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Amazônia","em Área Protegida","Desmatamento","Floresta secundária -- Área sem vegetação","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634,3823,1358,2484,1031,2909,3092,3472,3186,2668,2200,2197,2081,5108,3376,5719,7482,6048,8630,11845,8626,7856,8606,10156,9898,3021
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Caatinga","em Área Protegida","Desmatamento","Floresta secundária -- Área sem vegetação","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,8,17,194,45,606,1365,1048,971,260,488,290,535,426,2529,2645,2401,1181,548,305,791,459,3821,864,2060,804
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Cerrado","em Área Protegida","Desmatamento","Floresta secundária -- Área sem vegetação","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1081,1492,1724,2964,5704,6175,6843,9378,5363,3564,8032,9941,10773,8981,10421,8231,11320,11051,9901,15207,20947,19701,23436,29068,25449,12029,22623
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Mata Atlântica","em Área Protegida","Desmatamento","Floresta secundária -- Área sem vegetação","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,574,642,686,889,715,2492,2893,2573,3225,2067,5057,1678,2034,5096,3094,4651,7503,5367,6575,6096,6748,4583,6500,3809,4960,4038
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Pampa","em Área Protegida","Desmatamento","Floresta secundária -- Área sem vegetação","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,14,129,0,100,187,71,172,186,461,172,230,200,229,215,187,86,356,158,143,215,57,86,14,173,401
